6/8/2019 10:15:15 AM Feed Money: $20.00 $20.00
6/8/2019 10:15:18 AM Potato Crisps A1 $20.00 $16.95
6/8/2019 10:15:24 AM Wonka Bar B3 $16.95 $15.45
6/8/2019 10:15:25 AM Give Change: $0.00 $0.00
6/8/2019 10:38:28 AM Feed Money: $5.00 $5.00
6/13/2019 12:32:47 PM Feed Money: $2.00 $2.00
6/13/2019 12:33:53 PM Chiclets D3 $2.00 $1.25
6/13/2019 12:34:07 PM Give Change: $0.00 $0.00
6/13/2019 12:44:05 PM Feed Money: $20.00 $20.00
6/13/2019 12:44:15 PM Potato Crisps A1 $20.00 $16.95
6/13/2019 12:44:21 PM Give Change: $0.00 $0.00
6/13/2019 12:44:31 PM Feed Money: $5.00 $5.00
6/13/2019 12:44:36 PM Chiclets D3 $5.00 $4.25
6/13/2019 12:44:39 PM Give Change: $0.00 $0.00
